Date,Volume,Adj Close
4/1/2008,6093100,465.71
3/31/2008,4446400,440.47
3/28/2008,4376200,438.08
3/27/2008,5832200,444.08
3/26/2008,5214200,458.19
3/25/2008,5831600,450.78
3/24/2008,6763500,460.56
3/20/2008,9900400,433.55
3/19/2008,6179000,432
3/18/2008,7237200,439.16
3/17/2008,7888200,419.87
3/14/2008,6574400,437.92
3/13/2008,7726600,443.01
3/12/2008,6651900,440.18
3/11/2008,8826900,439.84
3/10/2008,7987600,413.62
3/7/2008,8071800,433.35
3/6/2008,7470100,432.7
3/5/2008,7436600,447.7
3/4/2008,13621700,444.6
3/3/2008,7554500,457.02
2/29/2008,9425400,471.18
2/28/2008,6586900,475.39
2/27/2008,10121900,472.86
2/26/2008,23287300,464.19
2/25/2008,8350800,486.44
2/22/2008,5515900,507.8
2/21/2008,5677800,502.86
2/20/2008,6662200,509
2/19/2008,6350400,508.95
2/15/2008,5240100,529.64
2/14/2008,6476700,532.25
2/13/2008,6624700,534.62
2/12/2008,6662300,518.09
2/11/2008,5826000,521.16
2/8/2008,6828900,516.69
2/7/2008,7928900,504.95
2/6/2008,7636400,501.71
2/5/2008,11203300,506.8
2/4/2008,13157100,495.43
2/1/2008,17600500,515.9
1/31/2008,14722000,564.3
1/30/2008,7939600,548.27
1/29/2008,6283000,550.52
1/28/2008,5806100,555.98
1/25/2008,6951800,566.4
1/24/2008,9400900,574.49
1/23/2008,16965700,548.62
1/22/2008,9490200,584.35
1/18/2008,8539600,600.25
1/17/2008,8216800,600.79
1/16/2008,10560000,615.95
1/15/2008,5568200,637.65
1/14/2008,4447500,653.82
1/11/2008,4977000,638.25
1/10/2008,6334200,646.73
1/9/2008,6739700,653.2
1/8/2008,5339100,631.68
1/7/2008,6403400,649.25
1/4/2008,5359800,657
1/3/2008,3252500,685.33
1/2/2008,4306900,685.19
12/31/2007,2376200,691.48
12/28/2007,2537000,702.53
12/27/2007,2942500,700.74
12/26/2007,2530000,710.84
12/24/2007,1628400,700.73
12/21/2007,5382000,696.69
12/20/2007,4422200,689.69
12/19/2007,4421100,677.37
12/18/2007,7166700,673.35
12/17/2007,5486000,669.23
12/14/2007,3673500,689.96
12/13/2007,5040800,694.05
12/12/2007,6159100,699.35
12/11/2007,6139100,699.2
12/10/2007,3856200,718.42
12/7/2007,3852100,714.87
12/6/2007,4909000,715.26
12/5/2007,4209600,698.51
12/4/2007,4231800,684.16
12/3/2007,4325100,681.53
11/30/2007,7895500,693
11/29/2007,6208000,697
11/28/2007,7916500,692.26
11/27/2007,8904500,673.57
11/26/2007,6790100,666
11/23/2007,2738700,676.7
11/21/2007,7013500,660.52
11/20/2007,9816900,648.54
11/19/2007,5527400,625.85
11/16/2007,9042800,633.63
11/15/2007,6967700,629.65
11/14/2007,8094700,641.68
11/13/2007,8426100,660.55
11/12/2007,10227300,632.07
11/9/2007,11388100,663.97
11/8/2007,16512200,693.84
11/7/2007,8252900,732.94
11/6/2007,8436300,741.79
11/5/2007,8883700,725.65
11/2/2007,5841500,711.25
11/1/2007,6527200,703.21
10/31/2007,6876800,707
10/30/2007,6887700,694.77
10/29/2007,3066300,679.23
10/26/2007,3353900,674.6
10/25/2007,5795500,668.51
10/24/2007,7404200,675.82
10/23/2007,6793700,675.77
10/22/2007,6598200,650.75
10/19/2007,15768400,644.71
10/18/2007,12289200,639.62
10/17/2007,6007000,633.48
10/16/2007,6014100,616
10/15/2007,6943800,620.11
10/12/2007,6823700,637.39
10/11/2007,11799000,622
10/10/2007,5343600,625.39
10/9/2007,8767800,615.18
10/8/2007,5028000,609.62
10/5/2007,5068700,594.05
10/4/2007,2986700,579.03
10/3/2007,3879500,584.02
10/2/2007,7056600,584.39
10/1/2007,4711300,582.55
9/28/2007,2497800,567.27
9/27/2007,2034300,567.5
9/26/2007,3346100,568.16
9/25/2007,2730600,569
9/24/2007,5297000,568.02
9/21/2007,8011700,560.1
9/20/2007,5525000,552.83
9/19/2007,5526900,546.85
9/18/2007,4215700,535.27
9/17/2007,2197500,525.3
9/14/2007,2764900,528.75
9/13/2007,1891100,524.78
9/12/2007,2986000,522.65
9/11/2007,2703600,521.33
9/10/2007,3225800,514.48
9/7/2007,3663600,519.35
9/6/2007,3625900,523.52
9/5/2007,3312900,527.8
9/4/2007,3693700,525.15
8/31/2007,2977600,515.25
8/30/2007,2651700,511.4
8/29/2007,2549300,512.88
8/28/2007,3273900,506.4
8/27/2007,2325100,513.26
8/24/2007,2472700,515
8/23/2007,3076700,512.19
8/22/2007,3252700,512.75
8/21/2007,3610600,506.61
8/20/2007,2697300,497.92
8/17/2007,5479400,500.04
8/16/2007,8645600,491.52
8/15/2007,5409500,497.55
8/14/2007,3633700,508.6
8/13/2007,3179300,515.5
8/10/2007,5875200,515.75
8/9/2007,4846500,514.73
8/8/2007,4068800,525.78
8/7/2007,4264300,516.02
8/6/2007,3651500,510
8/3/2007,3176200,503
8/2/2007,3154900,511.01
8/1/2007,4421500,512.94
7/31/2007,4270500,510
7/30/2007,3963300,516.11
7/27/2007,5509100,511.89
7/26/2007,6883400,508
7/25/2007,5545000,509.76
7/24/2007,5572100,514
7/23/2007,6356700,512.51
7/20/2007,17772300,520.12
7/19/2007,11127200,548.59
7/18/2007,6080000,549.5
7/17/2007,4328600,555
7/16/2007,6599500,552.99
7/13/2007,5237100,552.16
7/12/2007,3441600,545.33
7/11/2007,3309300,544.47
7/10/2007,3856000,543.34
7/9/2007,3729800,542.56
7/6/2007,2747000,539.4
7/5/2007,4942900,541.63
7/3/2007,1871800,534.34
7/2/2007,3487600,530.38
6/29/2007,3880600,522.7
6/28/2007,4168400,525.01
6/27/2007,6123100,526.29
6/26/2007,5689500,530.26
6/25/2007,7925000,527.42
6/22/2007,7203700,524.98
6/21/2007,4409700,514.11
6/20/2007,4338200,509.97
6/19/2007,4355300,514.31
6/18/2007,4835900,515.2
6/15/2007,6174100,505.89
6/14/2007,4621200,502.84
6/13/2007,7034000,505.24
6/12/2007,6419500,504.77
6/11/2007,4647700,511.34
6/8/2007,6358200,515.49
6/7/2007,10630500,515.06
6/6/2007,7886700,518.25
6/5/2007,10447100,518.84
6/4/2007,7101000,507.07
6/1/2007,4799000,500.4
5/31/2007,8924300,497.91
5/30/2007,7245800,498.6
5/29/2007,5218000,487.11
5/25/2007,5348500,483.52
5/24/2007,4173600,474.33
5/23/2007,5060200,473.97
5/22/2007,3839000,475.86
5/21/2007,6159300,470.6
5/18/2007,3695900,470.32
5/17/2007,4660600,470.96
5/16/2007,6554200,472.61
5/15/2007,4119000,458
5/14/2007,3872700,461.78
5/11/2007,2944100,466.74
5/10/2007,3686300,461.47
5/9/2007,3889900,469.25
5/8/2007,2905100,466.81
5/7/2007,3020100,467.27
5/4/2007,3950000,471.12
5/3/2007,3594200,473.23
5/2/2007,3062700,465.78
5/1/2007,3658200,469
4/30/2007,3641200,471.38
4/27/2007,2925700,479.01
4/26/2007,4124900,481.18
4/25/2007,3966800,477.99
4/24/2007,3694700,477.53
4/23/2007,5674600,479.08
4/20/2007,12161500,482.48
4/19/2007,11009600,471.65
4/18/2007,5670500,476.01
4/17/2007,3210100,472.8
4/16/2007,5077900,474.27
4/13/2007,2794800,466.29
4/12/2007,2707900,467.39
4/11/2007,3812000,464.53
4/10/2007,2979300,466.5
4/9/2007,3062100,468.21
4/5/2007,2715800,471.51
4/4/2007,3778800,471.02
